market_ticker,event_ticker,series_ticker,market_type,title,yes_sub_title,no_sub_title,result,result_binary,status,open_time,close_time,expected_expiration_time,volume,open_interest,tipoff_ts_used,tipoff_source,candle_ts,price_at_start_yes_bid,price_at_start_yes_ask,price_at_start_mid,price_at_start_last,n_candles_in_window
KXNBAGAME-26MAR27UTADEN-UTA,KXNBAGAME-26MAR27UTADEN,KXNBAGAME,game_winner,Utah at Denver Winner?,Utah,Utah,no,0,finalized,2026-03-25T16:06:00Z,2026-03-28T03:40:48Z,2026-03-28T04:00:00Z,4588175.00,0.00,1774661400,expected_expiration-150m,1774661400,0.03,0.04,0.035,0.05,111
KXNBAGAME-26MAR26NOPDET-DET,KXNBAGAME-26MAR26NOPDET,KXNBAGAME,game_winner,New Orleans at Detroit Winner?,Detroit,Detroit,yes,1,finalized,2026-03-24T13:06:00Z,2026-03-27T01:34:08Z,2026-03-27T02:00:00Z,2768283.00,0.00,1774567800,expected_expiration-150m,1774567800,0.63,0.65,0.64,0.64,111
KXNBAGAME-26MAR27DALPOR-DAL,KXNBAGAME-26MAR27DALPOR,KXNBAGAME,game_winner,Dallas at Portland Winner?,Dallas,Dallas,yes,1,finalized,2026-03-25T16:06:00Z,2026-03-28T04:36:06Z,2026-03-28T05:00:00Z,3434786.00,0.00,1774665000,expected_expiration-150m,1774665000,0.35,0.37,0.36,0.35,111
KXNBAGAME-26MAR26NYKCHA-CHA,KXNBAGAME-26MAR26NYKCHA,KXNBAGAME,game_winner,New York at Charlotte Winner?,Charlotte,Charlotte,yes,1,finalized,2026-03-24T13:06:00Z,2026-03-27T01:40:39Z,2026-03-27T02:00:00Z,2377462.00,0.00,1774567800,expected_expiration-150m,1774567800,0.64,0.65,0.645,0.65,111
KXNBAGAME-26MAR26SACORL-SAC,KXNBAGAME-26MAR26SACORL,KXNBAGAME,game_winner,Sacramento at Orlando Winner?,Sacramento,Sacramento,no,0,finalized,2026-03-24T13:06:00Z,2026-03-27T01:36:06Z,2026-03-27T02:00:00Z,3884673.00,0.00,1774567800,expected_expiration-150m,1774567800,0.09,0.1,0.095,0.1,111
KXNBAGAME-26MAR26SACORL-ORL,KXNBAGAME-26MAR26SACORL,KXNBAGAME,game_winner,Sacramento at Orlando Winner?,Orlando,Orlando,yes,1,finalized,2026-03-24T13:06:00Z,2026-03-27T01:36:06Z,2026-03-27T02:00:00Z,1579916.00,0.00,1774567800,expected_expiration-150m,1774567800,0.9,0.91,0.905,0.91,111
KXNBAGAME-26MAR27LACIND-LAC,KXNBAGAME-26MAR27LACIND,KXNBAGAME,game_winner,Los Angeles C at Indiana Winner?,Los Angeles C,Los Angeles C,yes,1,finalized,2026-03-25T13:06:00Z,2026-03-28T02:01:18Z,2026-03-28T02:00:00Z,6658374.00,0.00,1774654200,expected_expiration-150m,1774654200,0.52,0.53,0.525,0.53,111
KXNBAGAME-26APR03TORMEM-MEM,KXNBAGAME-26APR03TORMEM,KXNBAGAME,game_winner,Toronto at Memphis Winner?,Memphis,Memphis,no,0,finalized,2026-04-02T04:06:00Z,2026-04-04T02:46:00Z,2026-04-04T03:00:00Z,873467.00,669243.00,1775262600,expected_expiration-150m,1775262600,0.05,0.06,0.055,0.06,104
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,KXNBAGAME,game_winner,Utah at Denver Winner?,Denver,Denver,yes,1,finalized,2026-03-25T16:06:00Z,2026-03-28T03:40:48Z,2026-03-28T04:00:00Z,3255579.00,0.00,1774661400,expected_expiration-150m,1774661400,0.96,0.97,0.965,0.97,97
KXNBAGAME-26MAR25TORLAC-TOR,KXNBAGAME-26MAR25TORLAC,KXNBAGAME,game_winner,Toronto at Los Angeles C Winner?,Toronto,Toronto,no,0,finalized,2026-03-23T19:06:00Z,2026-03-26T05:03:52Z,2026-03-26T05:30:00Z,1525758.00,0.00,1774494000,expected_expiration-150m,1774494000,0.23,0.24,0.235,0.24,110
